ISBN,Title,Author,Year,Publisher,Blurb
1852307943,Shamanism (The Element Library Series),Nevill Drury,1996,Element Books Ltd.,"Originally published: Exeter : Webb & Bower, 1983.,A collection of facsimiles of Dr. Watson's private papers, including notes, diaries, telegrams, photographs, newspaper clippings, and other clues to assist the reader in solving the mystery of ""A Study in Scarlet""."
019283374X,Alice's Adventures in Wonderland and Through the Looking-Glass: And What Alice Found There (Oxford World's Classics),Lewis Carroll,1998,Oxford University Press,"'Begin at the beginning, and go on till you come to the end: then stop.'. So many readers were to take the advice of the King of Hearts that by the end of the nineteenth century the double Alice (1865 and 1872) had acquired a pre-eminent and unassailable position in children's literature. Lewis Carroll's use of logic, by which the ordinary is translated into the extraordinary in an entirely plausible way, is delightfully combined with an exceptional knowledge and understanding of the mind of the child. Satire, allusion, and symbolism weave deeper and mysterious meanings, lending a measure of immortality to Carroll's remarkable fantasy."
074341022X,Dark Hollow,John Connolly,2002,Pocket,"Dark Hollow is a masterful second novel from a young Irish writer whose storytelling skills were established with Every Dead Thing. Now his fiery, ingenious detective, Charlie Bird Parker, returns to uncover a legacy of evil that has haunted Maine citizens for decades."
0345461754,Sucker Bet,JAMES SWAIN,2003,Ballantine Books,"A hardened ex-cop with great instincts, a sharp eye, and a short fuse, Tony Valentine still catches crooks, but a very special breed of them. He nabs hustlers who rob casinos, and finds the fatal flaw that allowed the place to get ripped off in the first place. Sometimes that means biting the hand that feeds him, but Valentine isn’t paid to sugarcoat the cold, hard truth. Along flashy strips and in seedy dives, if there’s a game to be fixed, Valentine knows how to spot the tricks, the scams, the sleight of hand. And with his new case, there’s definitely more on the table than meets the eye.,Harry Smooth Stone, head of security at the Micanopy Indian Reservation Casino in South Florida, desperately needs Valentine’s expertise. A blackjack dealer has rigged a game, dealt a player eighty-four winning hands in a row, and disappeared. Valentine’s gut tells him a different story: that the runaway dealer is alligator food and his employers are keeping secrets.,But the missing dealer is part of an even bigger, far deadlier scheme. Valentine’s trail leads him to Rico Blanco, a ruthless gangster who once worked for John Gotti, his shady, elusive partner-in-crime, Victor Marks, and a bombshell named Candy Hart, a hooker with dreams of love, a combination tailored made to double-cross. It appears they have a con going down involving a cocky, filthy rich Brit and his millions of dollars. Valentine’s challenge: to figure out how all the pieces of the seamy puzzle fit together . . . before his luck runs out and his life goes bust.,In prose that sizzles with style and a wicked sense of humor, with plot twists that could cause whiplash, James Swain takes readers behind the neon-lit scenes of casinos and the gambling trade—and reveals a colorful cast of hustlers and con men, bookies and grifters. Make no mistake about it: on the crowded shelves of fiction, , is a sure thing."
0385481713,The Alphabet of Modern Annoyances,Neil Steinberg,1996,Bantam Dell Pub Group,"They drive you mad. They burrow under your skin and into your mind until you slam the phone down, yell at the kids, ram your car into the clown at the drive-in. Annoyances. War and famine bother us, sure, but what really cause the modern American to flip out are the petty, constant irritations of everyday life. Much-praised humorist Neil Steinberg, always an irritable fellow, has decided to fight back. In this alphabetically arranged screed, Steinberg aims the literary equivalent of a seltzer bottle at the teeth-grinding, suppressed-scream annoyances that can ruin a perfectly nice day."
0449232085,Woman On the Edge of Time,Marge Piercy,1981,Ballantine Books,"Connie Ramos, a woman in her mid-thirties, has been declared insane. But Connie is overwhelmingly sane, merely tuned to the future, and able to communicate with the year 2137. As her doctors persuade her to agree to an operation, Connie struggles to force herself to listen to the future and its lessons for today...."
1579544827,"Outwit Your Weight : Fat-Proof Your Life With More Than 200 Tips, Tools, &amp; Techniques to Help You Defeat Your Diet Danger Zones",Cathy Nonas,2002,Rodale Books,"Most diets tell you to restrict your food, eat only protein, or exercise compulsively while eating only pineapple after three o'clock. Outwit Your Weight pinpoints the exact psychology that makes you crave chocolate as opposed to potato chips, and helps readers understand and identify their particular food triggers. It then gives them tools to derail destructive eating,Most diets tell you to restrict your food, eat only protein, or exercise compulsively while eating only pineapple after three o'clock. Outwit Your Weight pinpoints the exact psychology that makes you crave chocolate as opposed to potato chips, and helps readers understand and identify their particular food triggers. It then gives them tools to derail destructive eating habits. In many cases before they start, allowing you to literally outwit your weight. Readers exchange FATitudes for FATitudes for motivation and inner strength, and a series of questions and profiles gives the reader a total assessment of their weight-loss personality. Diet danger zones are recognized, and the strategies for each one lead the reader to the Tools section of the book for specialized advice on how to battle that particular danger zone. The running sidebars combine psychology, humor, and cutting-edge medical advice to help readers lose weight once and for all as they change their behaviors, not their lives. Outwit Your Weight can be used alone or to enhance any other diet plan. Finally, Rodale Books brings you a smart approach to losing weight."
0843949007,Amarantha,Melanie Jackson,2001,Leisure Books,"When an heiress moves next door to a man who travels the moors in a sable coach drawn by headless horses, she loses both her peace of mind and her heart to his seductive charms."
0810934213,History of Art,H. W. Janson,1995,Harry N Abrams,"Back in the early 1970s, ""Janson""--as , is universally known--was a hefty but manageable 616 pages, illustrated mostly with black-and-white photographs. It also famously contained not a single work by a female artist and devoted a scant eight pages to non-Western art. Five editions and three decades later, the art history student's Stone Age-to-20th-century Bible has swelled into a massive, slipcased, 1,000-page tome studded with 865 color reproductions and subheadings that corral individual artists whose achievements used to flow together like some mighty art historical river."
0333719344,"Social work ethics: Politics, principles and practice",Chris L Clark,2000,Macmillan Press,"This book offers a critical introduction to professional ethics for social workers. It recognises that social work is largely a state sponsored activity and therefore poses issues in political theory. The traditional values and rules of practice ethics are explained using plentiful examples. The critique is followed by an innovative concept of social work and its,This book offers a critical introduction to professional ethics for social workers. It recognises that social work is largely a state sponsored activity and therefore poses issues in political theory. The traditional values and rules of practice ethics are explained using plentiful examples. The critique is followed by an innovative concept of social work and its relationship to the state. A new approach to practice ethics is developed based on four cardinal principles of respect, justice, citizenship and discipline."
